,ASX code,Company name,GICs industry group,Listing date,Market Cap
272,BAT.AX,BATTERY MINERALS LIMITED,Materials,29/10/2012,11862116
273,BBC.AX,BNK BANKING CORPORATION LIMITED,Banks,07/03/2012,56391717
274,BBL.AX,BRISBANE BRONCOS LIMITED,Media & Entertainment,12/05/1989,89216975
275,BBN.AX,BABY BUNTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,14/10/2015,169307644
276,BBT.AX,BLUEBET HOLDINGS LTD,Consumer Services,02/07/2021,37037227
277,BBX.AX,BBX MINERALS LIMITED,Materials,12/08/2005,24398267
278,BC8.AX,BLACK CAT SYNDICATE LIMITED,Materials,30/01/2018,99961670
279,BCA.AX,BLACK CANYON LIMITED,Materials,05/05/2021,10860320
280,BCB.AX,BOWEN COKING COAL LIMITED,Materials,22/06/1995,318009357
281,BCC.AX,BEAM COMMUNICATIONS HOLDINGS LIMITED,Technology Hardware & Equipment,06/11/1986,15123836
282,BCI.AX,BCI MINERALS LIMITED,Materials,15/12/2006,272583092
283,BCK.AX,BROCKMAN MINING LIMITED,Materials,11/01/2011,278406964
284,BCN.AX,BEACON MINERALS LIMITED,Materials,20/10/2006,108946277
285,BCT.AX,BLUECHIIP LIMITED,Technology Hardware & Equipment,09/06/2011,15656604
286,BDG.AX,BLACK DRAGON GOLD CORP.,Materials,29/08/2018,7224122
287,BDM.AX,BURGUNDY DIAMOND MINES LIMITED,Materials,04/01/2013,SUSPENDED
288,BDT.AX,BIRDDOG TECHNOLOGY LIMITED,Technology Hardware & Equipment,20/12/2021,28098062
289,BDX.AX,BCAL DIAGNOSTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",21/07/2021,18395609
290,BEE.AX,BROO LTD,"Food, Beverage & Tobacco",14/10/2016,SUSPENDED
291,BEL.AX,BENTLEY CAPITAL LIMITED,Not Applic,07/11/1986,3654140
292,BEN.AX,BENDIGO AND ADELAIDE BANK LIMITED,Banks,19/12/1985,4881635135
293,BET.AX,BETMAKERS TECHNOLOGY GROUP LTD,Consumer Services,11/12/2015,122660408
294,BEX.AX,BIKEEXCHANGE LIMITED,Consumer Discretionary Distribution & Retail,09/02/2021,7846884
295,BEZ.AX,BESRA GOLD INC.,Materials,08/10/2021,82361683
